id,primaryTitle,nconst
307841,Hancock,Will Smith
461857,Fury,Michael Pena
461854,Fury,Brad Pitt
461855,Fury,Shia LaBeouf
461856,Fury,Logan Lerman
134612,Dead Poets Society,Robin Williams
134614,Dead Poets Society,Ethan Hawke
308046,Little Miss Sunshine,Greg Kinnear
308045,Little Miss Sunshine,Steve Carell
429790,Rush,Daniel Bruhl
429791,Rush,Chris Hemsworth
283178,Charlie and the Chocolate Factory,Freddie Highmore
283177,Charlie and the Chocolate Factory,Johnny Depp
372681,Warrior,Nick Nolte
372680,Warrior,Tom Hardy
372682,Warrior,Joel Edgerton
160583,The Fifth Element,Ian Holm
160581,The Fifth Element,Bruce Willis
160582,The Fifth Element,Gary Oldman
370109,Venom,Tom Hardy
370110,Venom,Riz Ahmed
425881,Spotlight,Liev Schreiber
425880,Spotlight,Michael Keaton
425879,Spotlight,Mark Ruffalo
285067,The Bourne Supremacy,Matt Damon
285068,The Bourne Supremacy,Brian Cox
539106,Spider-Man: Far from Home,Jake Gyllenhaal
539104,Spider-Man: Far from Home,Tom Holland
539105,Spider-Man: Far from Home,Samuel L. Jackson
402268,The Girl with the Dragon Tattoo,Stellan Skarsgard
402266,The Girl with the Dragon Tattoo,Daniel Craig
402267,The Girl with the Dragon Tattoo,Christopher Plummer
349605,Twilight,Robert Pattinson
349606,Twilight,Billy Burke
268057,Mystic River,Kevin Bacon
268055,Mystic River,Sean Penn
268056,Mystic River,Tim Robbins
473713,Fantastic Beasts and Where to Find Them,Dan Fogler
473712,Fantastic Beasts and Where to Find Them,Eddie Redmayne
